,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
inertia,7089.348346073764,6018.0869002289155,5306.401316509533,4819.264714936036,4405.736560839979,4025.1609879071584,3746.7283927576063,3568.152220172514,3388.2543163850546,3205.0861783206547,3089.923740701696,2959.4769029338436,2806.1575228771308,2756.1850044423813,2622.6852624218627,2532.6757797386067,2441.576329706833,2351.742425060572,2276.2814367226324,2175.2678436825277,2141.5227627656795,2057.2815878664064,1996.06292860455
